submitted_on,water_point_name,latitude,longitude,photo_condition_water_point,operational_feel_of_pump,time_to_pump_20_litres,number_of_strokes_to_yield_water,sediment_presence,electrical_conductivity_magnitude,electrical_conductivity_units,arsenic_magnitude,arsenic_units,ammonia_mg_per_l,fluoride_ppm,nitrate_mg_per_l,total_dissolved_solids_ppt,free_chlorine_mg_per_l,ph,temperature_magnitude,temperature_units,turbidity_tube_magnitude,turbidity_tube_units,comments,type_of_sample,date_of_sample,ecoli_mpn_per_100ml,ecoli_upper_95ci_per_100ml,ecoli_health_risk_category,ecoli_image
17/06/2019,Demula borehole 1,-15.9627211,35.4801465,https://api.mwater.co/v3/images/d1177e52864149f99fcf268860de1165,"Normal/satisfactory , Very light",60.631,2,Absent,2020,μS / cm,5,ppb,0.05,2,0.45,0.12,0,6.28,24.1,C,5,NTU,NA,Point of collection,6/15/2019,0,2.87,safe,https://api.mwater.co/v3/images/e4635aa6bc3a4aad84bd3756f901e37f
07/07/2019,Mkatasi Borehole,-15.7217549,35.3788405,https://api.mwater.co/v3/images/cee12f183c0649eaaa0b5875374b3ffd; https://api.mwater.co/v3/images/3968620f53a94de3acf8dc80c2ea7405,Normal/satisfactory,55.961,2,Absent,635,μS / cm,0,ppb,0.15,0.4,1,0.37,0,7.33,24.7,C,5,NTU,NA,Point of collection,7/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/12c4926069e14cf3a5d56529e114ad4f
07/07/2019,Muhiyo Maliongo Borehole,-15.745375,35.3820467,https://api.mwater.co/v3/images/aebbe6f9ad3448c29163f540eb871e82; https://api.mwater.co/v3/images/2f7cd005c17a4db88f5955ec7a4a73a4; https://api.mwater.co/v3/images/51f31a776bd5468e8f1db5deedb31c97,Normal/satisfactory,51.541,2,Absent,1911,μS / cm,0,ppb,0.1,0.2,2,0.96,0,7.33,29.9,C,5,NTU,NA,Point of collection,7/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/d474cd912bcd4d368fbefd49a88e2623
07/07/2019,Mwawihe Borehole,-15.8448783,35.3847433,https://api.mwater.co/v3/images/6eca5578e8dc49e7a60c5db39bd44fda; https://api.mwater.co/v3/images/52384df8ef9f488d85a96064dc3d946d,Normal/satisfactory,61.341,2,Absent,1451,μS / cm,0,ppb,0.6,0.1,0.1,0.75,0,7.1,26.4,C,5,NTU,NA,Point of collection,6/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/3d408074a8cd4ab580cc5d15ed6e806c
07/07/2019,Matuta,-15.9041176,35.3455483,https://api.mwater.co/v3/images/87ad7dca1c8547a5a105f921c9b9270a,Normal/satisfactory,52.211,3,Absent,1047,μS / cm,5,ppb,2.1,0.2,1.3,0.52,0,7.2,26.4,C,5,NTU,NA,Point of collection,6/19/2019,0,2.87,safe,https://api.mwater.co/v3/images/2cce0c5c3a8a4bbfb6e8b20d821de869
02/03/2020,Matuta,-15.9041176,35.3455483,https://api.mwater.co/v3/images/aa92008414284684b3c355f26ee68963,Normal/satisfactory,41.819,2,Absent,870,μS / cm,0,ppb,0.4,0.34,0.65,0.45,0.3,7.15,31.7,C,15,NTU,NA,Point of collection,3/1/2020,0,2.87,safe,https://api.mwater.co/v3/images/bbea6202d3064a25996061417f703d26
05/07/2019,Mwanakhu borehole,-15.9377883,35.45575,https://api.mwater.co/v3/images/8eeaa8738c3a4aa4bebc0f1a9f822f27; https://api.mwater.co/v3/images/126cf2ea0513404bab8d0e8d535c83bf,Normal/satisfactory,43.46,1,Present,317,μS / cm,0,ppb,0.3,0.4,0.32,0.1,0,7.08,26.9,C,5,NTU,The community is very happy for the rehab,Point of collection,7/3/2019,0,2.87,safe,https://api.mwater.co/v3/images/653ccc6c5cc945ecac108fb7a1b95feb
22/06/2019,Mulava Borehole,-15.8995847,35.4784414,https://api.mwater.co/v3/images/15058d6d990c43cda1c689fe311f284f; https://api.mwater.co/v3/images/5691dadf126a4b81bf98e15ef9e2d030; https://api.mwater.co/v3/images/a2a601ecc0f54a3c83e84a06a6be64b3,Normal/satisfactory,44.801,1,Absent,103.5,μS / cm,5,ppb,0.05,0.2,0.5,0.05,0,6.8,27.8,C,5,NTU,The borehole is now functioning satisfactorily. The water flow is good and there is no sideways movements of the handle. After the CBM training the members and community members promised to develop bylaws in the running of the borehole and ensure good relations among all concerned committees and groups.,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/a73252100247492ab065bdf4061e235f
08/07/2019,Kumponda Chisitu School Borehole,-15.9982986,35.4377479,https://api.mwater.co/v3/images/f69c5da347f049218cc18ba2e2ba1537,Normal/satisfactory,42.281,1,Absent,4630,μS / cm,10,ppb,0.15,2,0.5,0.22,0,6.18,25.1,C,5,NTU,The borehole is now ina very good condition and the borehole committee members are very happy with the performance.,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/fdaacc5054aa4bd6a90701d54e112196
13/12/2019,Matuta,-15.9094313,35.353105,https://api.mwater.co/v3/images/edb7fa67481f48138aab7926417a5669,Normal/satisfactory,62.855,2,Absent,613,μS / cm,0,ppb,0.28,0.13,0.11,0.21,0.08,7.1,31.1,C,5,NTU,NA,Point of collection,12/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/bce8bc32ec75457db08b476c8b1163c3
17/06/2019,John  borehole,-15.9443936,35.4129558,https://api.mwater.co/v3/images/1b6f0707d3864184b2e1af0d71856242; https://api.mwater.co/v3/images/5179b457d996459baf34b9b42c6144ed,Normal/satisfactory,40.811,1,Absent,2264,μS / cm,0,ppb,0.4,1.6,0.1,1.15,0,6.67,23.6,C,100,NTU,The community members were grateful after the started pumping and promised to ensure it is maintained the borehole for it to continue functioning.,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/6b97f7e030f044ebb849702ad9213745
05/07/2019,Sagawa primary school borehole,-15.6882501,35.3392668,https://api.mwater.co/v3/images/cef77439abf842dcabbc80705ca3c867; https://api.mwater.co/v3/images/7779fe8625f741d19dc9d650bb49987f; https://api.mwater.co/v3/images/04665f82e95b4d85ae04a5a685c1ef43,Normal/satisfactory,53.722,1,NA,3230,μS / cm,5,ppb,1.8,2,0.5,1.71,0,7.2,37,C,5,NTU,NA,Point of collection,7/2/2019,0,2.87,safe,https://api.mwater.co/v3/images/d0d2203f7b7949bfa27f40d4b53a0214
15/12/2019,Sagawa primary school borehole,-15.6882501,35.3392668,https://api.mwater.co/v3/images/ea0aedf7fb8b479ca1e2de3e36f6203c; https://api.mwater.co/v3/images/43f83354f04a48b482b9b24c001a8b4a,Normal/satisfactory,47.698,4,Absent,3050,μS / cm,0,ppb,0.4,1.5,0.2,1.6,0.35,7.05,30,C,5,NTU,NA,Point of collection,12/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/edbe2ab1a38e488e86d1355307715aea
07/07/2019,Mgumera Borehole 1,-15.83862,35.3591283,https://api.mwater.co/v3/images/e400a0f1b03043298e3c961a6599a980; https://api.mwater.co/v3/images/7e915db063884843b31473cf4aa1e4fa; https://api.mwater.co/v3/images/2e1c9d42b13a4966a8b0f07395919eb2; https://api.mwater.co/v3/images/28407ab279ed4ad995d8544536568979,Normal/satisfactory,43.72,2,Absent,1154,μS / cm,0,ppb,0.25,0.6,2.8,0.58,0,7.65,32.8,C,5,NTU,NA,Point of collection,7/3/2019,0,2.87,safe,https://api.mwater.co/v3/images/589f1fe71dd14cfc97c2e3b55659112e
05/07/2019,Mpombwe  village,-15.9042203,35.3824666,https://api.mwater.co/v3/images/c8076f3524f34f048d7f062b2d519509; https://api.mwater.co/v3/images/5912304568394b9fbeea31a3b8a086f8; https://api.mwater.co/v3/images/72dcb1fead4947898da26b3191b6be6f,Normal/satisfactory,42.851,1,Absent,1148,μS / cm,5,ppb,0.15,0.2,0.5,0.58,0,6.8,25.7,C,5,NTU,NA,Point of collection,7/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/3ac62a921e054035b3a900031b0191c7
28/02/2020,Mpombwe  village,-15.9042203,35.3824666,https://api.mwater.co/v3/images/a666337bb739455b9a15065f62ec14d7,Normal/satisfactory,50.491,2,Absent,940.2,μS / cm,0,ppb,0.9,0.51,0.2,0.45,0.9,7.3,30,C,5,NTU,NA,Point of collection,2/26/2020,0,2.87,safe,https://api.mwater.co/v3/images/e96557efa0484c718191cd191aa73362
07/07/2019,Likwethu Borehole,-15.9101751,35.3579323,https://api.mwater.co/v3/images/5114f49abc8642c8894621c8b5c9f79d,Normal/satisfactory,49.751,3,Absent,981,μS / cm,0.1,ppb,0.1,0.8,3.6,0.49,0,7.37,28.5,C,5,NTU,NA,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/8bdff79f0527475791f33ad05e88bda5
05/12/2019,Likwethu Borehole,-15.9101751,35.3579323,https://api.mwater.co/v3/images/df175210f8404871ab2d5271e5ce00bb; https://api.mwater.co/v3/images/61dccf716a5a4021b42ac54333b5916c,Normal/satisfactory,51.845,2,Absent,978,μS / cm,0,ppb,0.13,0.32,0.37,0.45,0,7.4,31.1,C,5,NTU,NA,Point of collection,12/4/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/1960da1fb4cf462eb758e564f40f9792
07/07/2019,Nkando Thuchira H/C Borehole,-15.9194933,35.361185,https://api.mwater.co/v3/images/5df1471f6eba4c1b94a442ca235f23e3; https://api.mwater.co/v3/images/f22f4fea82784e86abd7766b72394209,Normal/satisfactory,46.045,2,Absent,2040,μS / cm,5,ppb,0.2,1,0.8,1.07,0,7.4,30.4,C,5,NTU,NA,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/c64c890ed47741339f2eb18a15508c5a
08/07/2019,Mponda borehole 1,-15.98005,35.4724935,https://api.mwater.co/v3/images/b91a4adadc5b41128b63844c76c37167; https://api.mwater.co/v3/images/09d3dabd3d954da790be8c1a103afd17,Normal/satisfactory,43.63,1,Absent,250.7,μS / cm,5,ppb,0.5,0.2,0.9,0.12,0.2,6.51,24.2,C,5,NTU,NA,Point of collection,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/7c7a1bf8eb83464884f2b946205a3d29
09/12/2019,Mponda borehole 1,-15.98005,35.4724935,https://api.mwater.co/v3/images/0017cbcaf1254b6f92e1118cefeb8cd5; https://api.mwater.co/v3/images/d5688612e07149b194b9ac4b608feb56,Normal/satisfactory,43.81,2,Absent,226.2,μS / cm,0,ppb,0.4,0.11,0.7,0.11,0.2,6.7,29.5,C,5,NTU,NA,Point of collection,12/7/2019,0,2.87,safe,https://api.mwater.co/v3/images/5eceaec4851e436d82591b38c028bfbf
23/02/2020,Mponda borehole 1,-15.98005,35.4724935,https://api.mwater.co/v3/images/1fd268290d034cfb86407c604b3093d5,Normal/satisfactory,39.008,2,Absent,230.8,μS / cm,0,ppb,0.3,0.11,0.6,0.14,0.25,7.1,30,C,5,NTU,NA,Point of collection,2/22/2020,0,2.87,safe,https://api.mwater.co/v3/images/bf344cf75b884125bd60cdac65b7b82a
27/06/2019,Mtendele primary  school borehole,-15.9416508,35.3805221,https://api.mwater.co/v3/images/9c167fb1314e407199916cee88ef0864,Normal/satisfactory,49.971,1,Absent,1882,μS / cm,5,ppb,0.3,1.8,1,0.09,0,6.79,27.1,C,5,NTU,The bolehole is functioning just fine,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/688c8acf3acc4b3db7d60ab13e8f0c37
07/07/2019,Wetheya Borehole,-15.901425,35.3642181,https://api.mwater.co/v3/images/672a7087d2934101b791909835f35fc1,Normal/satisfactory,61.322,2,Absent,918,μS / cm,0,ppb,0,1.4,0.2,0.46,0,7.6,32.7,C,5,NTU,NA,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/240b6db7451b49a6a28d48dd18319a41
19/06/2019,Fundi mosque,-15.958495,35.418988,https://api.mwater.co/v3/images/e591bb652a37405095dc2b28b4519802,Normal/satisfactory,30.69,1,Present,117.4,μS / cm,5,ppb,0.4,1.01,0.7,0.06,0,7.1,24.5,C,5,NTU,The community is so happy since the borehole is perfoming well than before.,Point of collection,6/18/2019,0,2.87,safe,https://api.mwater.co/v3/images/55d6b775cfff4931bb87e24b03086853
06/12/2019,Fundi mosque,-15.958495,35.418988,https://api.mwater.co/v3/images/d20a4d2e3eed4599a8f9a639d1d68ec4; https://api.mwater.co/v3/images/ae01952520c749f085a7e5de1b333c78,Normal/satisfactory,53.202,2,Present,130.1,μS / cm,0,ppb,0.3,0.03,0.65,0.06,0.15,7.58,33.2,C,50,NTU,NA,Point of collection,12/5/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/38cd792a6a104026bad1454361838889
26/02/2020,Fundi mosque,-15.958495,35.418988,https://api.mwater.co/v3/images/11aed5db1d534911b1da67916468116c,Normal/satisfactory,56.461,2,Absent,149,μS / cm,0,ppb,0.37,0.08,0.7,0.1,0.3,7.3,30.2,C,50,NTU,NA,Point of collection,2/24/2020,0,2.87,safe,https://api.mwater.co/v3/images/72ffcb93ad7e4b699050d926585bc123
19/06/2019,Fundi  mosque 2,-15.9583581,35.4188939,https://api.mwater.co/v3/images/88bc0a0dcd9a42ff97e24b4f061205fd; https://api.mwater.co/v3/images/c402c9588481468d8b103b5104fa75f7,Normal/satisfactory,54.964,1,Absent,327,μS / cm,5,ppb,0.45,0.2,0.2,0.06,0,6.8,27,C,10,NTU,The bolehole is functioning after some miner repairs we failed to chlorinate cause the grilled the headcase,Point of collection,6/18/2019,0,2.87,safe,https://api.mwater.co/v3/images/39f81d7ac747451f90af3e2b369f1359
06/12/2019,Fundi  mosque 2,-15.9583581,35.4188939,https://api.mwater.co/v3/images/0783159c533143d9bb02ac3af063ba23; https://api.mwater.co/v3/images/946028908dcb49e6b4f1c14499448392,Normal/satisfactory,60.221,2,Present,1070,μS / cm,0,ppb,0.4,0.5,0.2,0.53,0.47,7.3,32.7,C,50,NTU,NA,Point of collection,12/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/47ea7c828eed41be8f0d3fac74379ec5
21/06/2019,Salamu  village,-15.9440871,35.3949133,https://api.mwater.co/v3/images/5eb04bf7b95d4418a79aeae263af7ab7; https://api.mwater.co/v3/images/c6b9b9b220a24d92a291f7e0f935e4bf; https://api.mwater.co/v3/images/8779d0b6ff9a479a9b22909b94b36937,Normal/satisfactory,44.57,1,Absent,1283,μS / cm,5,ppb,0.1,0.6,1,0.38,0,7.2,24,C,5,NTU,The borehole is now functioning satisfactorily with no clicking sound and sideways movement.,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/f1c102af755547c6ac7dc6b89b61fb8b
03/07/2019,Ntolera  village,-15.8919403,35.3785074,https://api.mwater.co/v3/images/4a1c5d21bf284f03b2b64fc2aa1d8b0e,Normal/satisfactory,46.52,1,Present,1182,μS / cm,5,ppb,0.25,0.2,0.7,0.59,0,7.38,25.4,C,5,NTU,The community is happy for the rehab,Point of collection,6/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/faaa4334ebfa4311b4845e66ae857f92
12/02/2020,Pasani primary school borehole,-15.9273928,35.4734956,https://api.mwater.co/v3/images/d5dc6aa219f34d8abfb354c058bd5b58,Normal/satisfactory,43.051,2,Absent,402,μS / cm,0,ppb,0.1,0.4,0.5,0.19,0.4,7,29,C,5,NTU,NA,Point of collection,12/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/92bd8678632b4665b05fc932d62d99fb
18/06/2019,Mkawera Borehole,-15.9268567,35.4720033,https://api.mwater.co/v3/images/72f998e224d246b6b5dc35657138f83b,Normal/satisfactory,49.92,1,Absent,371,μS / cm,5,ppb,0.8,2,0,0.17,0,7.01,27.9,C,5,NTU,"The people are so thankful for rehabilitating the borehole,they have undergone CBM training and have been advised to construct the platfoam and the drainage channel",Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/dc4819cee1c64769bd74fbbdbcbf8bcc
08/07/2019,KAPALA VILLAGE  BOREHOLE  01,-15.9751917,35.33574,https://api.mwater.co/v3/images/2918e47a38de45a8aebb8a68eedbd0c6,Normal/satisfactory,53.611,1,Absent,205,μS / cm,5,ppb,0.3,0.11,0.14,0.12,0,7.3,31,C,5,NTU,NA,Point of collection,7/3/2019,0,2.87,safe,https://api.mwater.co/v3/images/7d576b0d83954423bd8cc14a4de60ac0
13/12/2019,Nthiramanja(mangomo) borehole  01,-15.9709693,35.3425696,https://api.mwater.co/v3/images/9706665b3bbd45cd99eb3c38e10d721f,Normal/satisfactory,56.529,3,Absent,189,μS / cm,0,ppb,0.3,0.1,0.12,0.11,0.09,6.7,28,C,5,NTU,NA,Point of collection,12/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/0ac2522d4e944df2863e65da61046bb4
03/07/2019,KAPALA VILLAGE BOREHOLE  03,-15.96566,35.337675,https://api.mwater.co/v3/images/4da9bf1f07b64d63a9861aa558bd7dbb; https://api.mwater.co/v3/images/754ba42cd019465c8be2b546df7bc3a4,Normal/satisfactory,54.725,1,Absent,646,μS / cm,5,ppb,0.3,0.1,0.14,0.3,0,7.2,27.5,C,5,NTU,NA,Point of collection,7/3/2019,0,2.87,safe,https://api.mwater.co/v3/images/e14e33fe73ec47e98fbcf3a6cf39bf46
07/03/2020,KAPALA VILLAGE BOREHOLE  03,-15.96566,35.337675,https://api.mwater.co/v3/images/9229602837d0443fad7b0c803de20e9a,Normal/satisfactory,41.499,2,Absent,368,μS / cm,0,ppb,0.47,0.2,0.61,0.24,0.7,7,29,C,5,NTU,NA,Point of collection,3/6/2020,0,2.87,safe,https://api.mwater.co/v3/images/63573900d635401fb4d87e0d370a76ce
14/06/2019,Nthiramanja(thukuwa),-15.96029756,35.34602165,https://api.mwater.co/v3/images/718a93f93104406f9b9e7a6902cea960,Normal/satisfactory,50.155,1,Absent,386,μS / cm,5,ppb,0,0.15,1,0.19,0,7.16,32.1,C,5,NTU,NA,Point of collection,6/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/7d9f21c0ebac421e93e49565321b1dea
07/03/2020,Nthiramanja(thukuwa),-15.96029756,35.34602165,https://api.mwater.co/v3/images/b5fb39a125214bdfb7186574ce8d7bcf,Normal/satisfactory,52.851,2,Absent,4.95,μS / cm,0,ppb,0.25,0.3,0.91,0.24,0.1,6.8,29.5,C,5,NTU,NA,Point of collection,3/6/2020,0,2.87,safe,https://api.mwater.co/v3/images/ec9b18bddf9b461bb7479b43b8840540
08/07/2019,Mbali 01 moswue,-15.93840737,35.3494978,https://api.mwater.co/v3/images/737955abda724d0a9233959e60e2ba03,Normal/satisfactory,50.021,2,Absent,615,μS / cm,5,ppb,0.3,0.2,1,0.3,0,7.4,25.4,C,5,NTU,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/910c7d2d51674cce964d299171f6e85b
16/12/2019,Mbali 01 moswue,-15.93840737,35.3494978,https://api.mwater.co/v3/images/54341e20fc39417c97dc831228d870a9; https://api.mwater.co/v3/images/6da2a143333645638a8a3dae856eccba,Normal/satisfactory,47.701,2,Absent,570,μS / cm,0,ppb,0.35,0.13,0.29,0.28,0,7.3,33.1,C,5,NTU,NA,Point of collection,12/15/2019,0,2.87,safe,https://api.mwater.co/v3/images/3c8297ddb7d04d96bd9400fb36b8bf00
20/06/2019,Namagunda 02,-15.93873749,35.36932468,https://api.mwater.co/v3/images/6bfa672706a245d6a0cddc5527594252,Normal/satisfactory,45.407,1,Absent,7010,μS / cm,5,ppb,0.15,0.3,0.5,0.34,0,7.5,22.5,C,5,NTU,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/17efcd01da9749b8a326659e3e65b874
13/12/2019,Matenje  borehole  01,-15.9677891,35.3570901,https://api.mwater.co/v3/images/60346d022d724662ad61c7f0cd74d85f,Normal/satisfactory,110.408,21,Absent,189.7,μS / cm,0,ppb,0.23,0.18,0.57,0.1,1.1,6.9,27.1,C,5,NTU,NA,Point of collection,NA,0,2.87,safe,https://api.mwater.co/v3/images/d5c7affa1cab46ca86d82bdeaf3b5bd1
08/07/2019,Khobiri borehole 01,-15.98468136,35.36931932,https://api.mwater.co/v3/images/f085204f1a3b45dcab19179870be5af3; https://api.mwater.co/v3/images/24b941760f2744eda1b3cbdbfba51bde; https://api.mwater.co/v3/images/2d626fc0e5cc428d9e882a2304cbb460,Normal/satisfactory,52.45,1,Absent,725,μS / cm,5,ppb,0.25,0.1,0.8,0.24,0,7,30.5,C,5,NTU,NA,Point of collection,7/8/2019,0,2.87,safe,https://api.mwater.co/v3/images/6d462ccd4c734cccbbe9e87da191862f
08/07/2019,Khobiri borrhole o2,-15.9822216,35.3669676,https://api.mwater.co/v3/images/fad665f6a24b4ca1b5135980f57ae07a; https://api.mwater.co/v3/images/aa3a09a130b348aa82af8f3bac5f6247; https://api.mwater.co/v3/images/b4f4b4a9e9c34148ae63add8311cf4c1,Normal/satisfactory,52.971,2,Absent,628,μS / cm,5,ppb,0.25,0.1,0.2,0.15,0,6.9,29,C,5,NTU,NA,Point of collection,7/8/2019,0,2.87,safe,https://api.mwater.co/v3/images/c32fc62afd79463682539e94090853c9
22/06/2019,Kunlola   borehole 2,-15.9177267,35.3960817,https://api.mwater.co/v3/images/9021010cadf14617b9e56dc39a75d6f1,Normal/satisfactory,59.02,1,Present,1195,μS / cm,5,ppb,0.05,2,2.1,0.58,0.5,7.18,22.5,C,5,NTU,The community is so thankful for rehavilitating and chlorinating the borehole since it has not been working for some time.,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/43489a07912043bbb6ad3978d0654a9a
22/06/2019,Nyalugwe borehore 01,-15.9788143,35.3888644,https://api.mwater.co/v3/images/0913c7707cba4b789396fdfd5280aade,Normal/satisfactory,56.387,1,Absent,332,μS / cm,5,ppb,4.2,0.2,0.1,0.08,0,7.7,24,C,5,NTU,NA,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/e8f51e4972fc4727b8df2ee5b9f7f5f0
24/06/2019,Manjomo Borehole,-15.909075,35.4570332,https://api.mwater.co/v3/images/b0e1cc9495ea4abc8f833e31fadc22de; https://api.mwater.co/v3/images/24ae662bbeb94fd58ff5f5af4b15e7d5,Normal/satisfactory,54.943,1,Present,29,μS / cm,5,ppb,0.9,0.4,0.2,0.03,0,7.9,26.8,C,25,NTU,The community is happy for rehabilitating the borehole since it was making a lot of noise,Point of collection,6/22/2019,0,2.87,safe,https://api.mwater.co/v3/images/9f63d2c86f24483fa96507cf8ceb8c73
13/12/2019,NEUMBA  BOREHOLE  01,-15.9223283,35.3363117,https://api.mwater.co/v3/images/79cd32b502df44aa9fd095b37c60b382; https://api.mwater.co/v3/images/e8363fe67d1b4e0187194b55fab26b4e,Normal/satisfactory,49.407,1,Absent,412,μS / cm,0,ppb,0.25,0.09,0.1,0.14,0.16,6.9,31.2,C,5,NTU,NA,Point of collection,12/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/49945c3db4f949bca6defa258d89d00d
09/07/2019,John borehole 1,-15.6964315,35.4714933,https://api.mwater.co/v3/images/91d624adf00040769f04ffbb437d9f3b,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke",239.55,2,Absent,2138,μS / cm,0,ppb,0.35,1,0.61,1.11,0,7.21,30.1,C,5,NTU,Recharge is very slow. It usually runs out water after filling 2 buckets of 20 liters. And it takes long to recharge,Point of collection,7/3/2019,0,2.87,safe,https://api.mwater.co/v3/images/e66ac6d9b7734a8391fab57e0a56433c
15/12/2019,John borehole 1,-15.6964315,35.4714933,https://api.mwater.co/v3/images/0da4a3495aec4c8cbfd6ab597a964c8d; https://api.mwater.co/v3/images/297b8365592b4b399e0755bc8b74cfe3,Normal/satisfactory,54.012,2,Absent,2140,μS / cm,0,ppb,0.33,1,0.6,1.1,0,7.6,32,C,5,NTU,NA,Point of collection,12/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/c071c7574b86407290744d186d4c7a86
05/07/2019,John borehole 2,-15.6906683,35.4634666,https://api.mwater.co/v3/images/b10d31678e9b44cda6b7cf889d76ee94; https://api.mwater.co/v3/images/176ad352a2a44c1b814e1f66102c08ab,Normal/satisfactory,50.965,1,Absent,690,μS / cm,5,ppb,0.25,2,0,0.32,0,7.2,27.1,C,5,NTU,NA,Point of collection,7/2/2019,0,2.87,safe,https://api.mwater.co/v3/images/8b321b2c921d43e0a9b3af2c6328f418
09/07/2019,Naveya borehole,-15.6861807,35.4909948,https://api.mwater.co/v3/images/710489c14f684caa8d2e9f9103849471; https://api.mwater.co/v3/images/0fcdbebeb3c949efafa0f146a3df6b50,"Normal/satisfactory , Significant friction (very stiff) on down stroke",54.052,1,Absent,1704,μS / cm,0,ppb,0.35,0.62,0.23,0.86,0,7.42,24.9,C,5,NTU,NA,Point of collection,7/8/2019,0,2.87,safe,https://api.mwater.co/v3/images/01edf6a3e4b54c5da5271dd1bedfe389
09/07/2019,Chinama borehole 2,-15.7022731,35.4441046,https://api.mwater.co/v3/images/ef00ca1a20ca46698b8087fc3d16f90c; https://api.mwater.co/v3/images/96bcbf2b35d54e00b34db8785e41bfe8,"Normal/satisfactory , Significant friction (very stiff) on down stroke",61.089,1,Absent,1602,μS / cm,0,ppb,0.1,0.7,1,0.8,0,7.21,26.4,C,5,NTU,NA,Point of collection,7/6/2019,0,2.87,safe,https://api.mwater.co/v3/images/15a70fe3953d41e2aade17ec4fe09dd6
09/07/2019,Chinama borehole 3,-15.7037548,35.4449434,https://api.mwater.co/v3/images/040a0735b9f544a9b31c9e52086aac01; https://api.mwater.co/v3/images/ad567e8078f84d03b439835dd9c5b722,Normal/satisfactory,57.827,1,Absent,1493,μS / cm,5,ppb,0.15,0.3,0,0.75,0,7.31,28.4,C,5,NTU,NA,Point of collection,7/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/7ce26260f5f541608f6cce10eb9c6037
05/07/2019,Masamba borehole 1,-15.6922916,35.4380536,https://api.mwater.co/v3/images/3dd7981b02c34af98a0feaba2de1cd85,Normal/satisfactory,54.97,1,Absent,595,μS / cm,0,ppb,0.8,1.05,0,0.28,0,7.72,25,C,5,NTU,NA,Point of collection,7/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/d3dbe3a238b449bf917d9b20c10b509e
09/07/2019,Matuwisa borehole,-15.6509489,35.4812695,https://api.mwater.co/v3/images/c0a44c3f731043f3907c8f5e6054b5b6; https://api.mwater.co/v3/images/6f9b8b6bef6d4d10984764985af83c08,"Normal/satisfactory , Significant friction (very stiff) on down stroke",59.511,1,Absent,862,μS / cm,0,ppb,0.3,0.2,0.4,0.42,0,7.35,28.9,C,5,NTU,NA,Point of collection,7/6/2019,0,2.87,safe,https://api.mwater.co/v3/images/ee9ecf4ea0d0438aa62372387325a40e
27/06/2019,Matuwisa borehole 2,-15.64008,35.4834982,https://api.mwater.co/v3/images/3d03d636f84e446287f41752e6f93144; https://api.mwater.co/v3/images/a98a5ccc98964604ba293268b492ad7a,"Normal/satisfactory , Significant friction (very stiff) at all times",57.69,1,Absent,881,μS / cm,0,ppb,0.3,0.2,0,0.43,0,7.1,27.4,C,5,NTU,NA,Point of collection,6/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/225b6e99382a44f095b726f659363575
05/07/2019,Mzombwe borehole,-15.6303664,35.490535,https://api.mwater.co/v3/images/68063e617fd24f7794d156f6e32a8ac5; https://api.mwater.co/v3/images/1004667dfb594f17ac768ab85311e0f6,"Normal/satisfactory , Significant friction (very stiff) on down stroke",53.51,1,Absent,1330,μS / cm,0,ppb,0.4,1.67,0.15,0.63,0.18,7.3,26.3,C,5,NTU,NA,Point of collection,7/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/05941f7f4bd74ed1a47560e935d68d07
